FileName,noise_threshold,num_notes,num_notes_per_syll,largest_note_duration(ms),smallest_note_duration(ms),avg_note_duration(ms),stdev_note_duration(ms),avg_notes_upper_freq(Hz),avg_notes_lower_freq(Hz),max_notes_freq(Hz),min_notes_freq(Hz),overall_notes_freq_range(Hz),largest_notes_freq_range(Hz),smallest_notes_freq_range(Hz),avg_notes_freq_range(Hz),stdev_notes_freq_range(Hz)
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_040000-74.gzip,46,28,3.5,170.041666666667,3.5,31.4479166666667,39.2747337356365,3916.45781119465,3552.21386800334,5520.46783625731,2619.88304093567,2947.36842105263,888.888888888889,140.350877192982,411.027568922306,187.289146783872
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_040000-32.gzip,46,17,2.125,72.9166666666667,3.20833333333333,27.0220588235294,28.0580341567149,5418.64465084279,4826.96938424493,6643.27485380117,3134.50292397661,3555.55555555556,1216.37426900585,233.918128654971,638.458892328861,313.808461016739
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_080000-66.gzip,46,6,1,92.1666666666667,46.9583333333333,63.5347222222222,18.2205701952694,5380.11695906433,4499.02534113061,6643.27485380117,3649.12280701754,3040.93567251462,1263.15789473684,561.40350877193,927.875243664717,326.034099772579
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_050000-113.gzip,46,22,1.83333333333333,133,5.83333333333333,56.5833333333333,47.7260823364456,4667.72993088782,4272.19564061669,5567.2514619883,3695.90643274854,1918.12865497076,748.538011695907,187.134502923977,442.317916002126,181.322886509766
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_070000-25.gzip,46,42,3.5,123.666666666667,3.20833333333333,28.7152777777778,33.3172139844433,3949.87468671679,3392.92676134781,5099.41520467836,2900.58479532164,2245.61403508772,1309.94152046784,233.918128654971,603.731551099972,296.572139524546
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_080000-72.gzip,46,48,2.52631578947368,91.5833333333334,2.91666666666667,28.9965277777778,26.8144960990157,5257.30994152047,4770.95516569201,6970.76023391813,3134.50292397661,3883.04093567251,1356.72514619883,140.350877192982,533.138401559454,336.772915810725
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200419_040000-17.gzip,46,26,3.25,87.5,2.91666666666667,30.8717948717949,26.3848176121676,3899.23526765632,3422.40215924426,5660.81871345029,2666.66666666667,3040.93567251462,888.888888888889,187.134502923977,523.61673414305,189.005491641946
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_050000-107.gzip,46,27,1.8,129.791666666667,3.20833333333333,53.8503086419753,47.0621864515203,4912.28070175439,4557.07169157462,7953.21637426901,3649.12280701754,4350.87719298246,701.754385964912,140.350877192982,401.992635910765,191.254361408143
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_080000-31.gzip,46,33,4.71428571428571,109.083333333333,3.5,27.0984848484848,30.5027389092506,3911.39464823675,3457.73524720893,5567.2514619883,2807.01754385965,2807.01754385965,888.888888888889,233.918128654971,500.443026758816,159.718661240901
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_050000-165.gzip,46,13,4.33333333333333,33.25,5.83333333333333,15.5705128205128,10.3583001560346,4771.9298245614,4415.65452091768,5988.30409356725,4116.95906432749,1918.12865497076,982.456140350877,233.918128654971,403.058929374719,210.559634823597
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_040000-92.gzip,46,10,2,173.833333333333,6.70833333333333,68.1041666666667,63.8974518718069,3812.86549707602,3373.09941520468,5567.2514619883,2713.45029239766,2900.58479532164,842.105263157895,187.134502923977,486.549707602339,221.859421364881
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_050000-68.gzip,46,59,2.03448275862069,100.625,2.91666666666667,34.5847457627119,27.6458113713562,4543.56229556943,4036.87184061849,5707.60233918129,3228.0701754386,2526.31578947368,935.672514619883,140.350877192982,553.474080681931,231.510504163136
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200421_080000-16.gzip,46,43,3.58333333333333,116.083333333333,3.79166666666667,36.5058139534884,37.1599669443231,3616.48306813545,3180.19855841153,4304.09356725146,2760.23391812866,1590.6432748538,842.105263157895,187.134502923977,483.068135454916,196.034777739551
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_080000-47.gzip,46,14,1.55555555555556,93.9166666666667,4.95833333333333,47.7916666666667,28.4881329319546,4511.27819548872,3826.23224728488,5380.11695906433,3181.2865497076,2245.61403508772,1590.6432748538,187.134502923977,731.829573934837,575.210965618162
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200421_080000-44.gzip,46,28,3.5,112.583333333333,5.25,25.84375,30.8486524027691,3744.36090225564,3388.47117794486,4959.06432748538,2994.15204678363,2011.69590643275,701.754385964912,187.134502923977,402.673350041771,124.976599392298
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200419_050000-5.gzip,46,17,2.83333333333333,60.0833333333333,4.08333333333333,23.3676470588235,18.4632954866881,4912.28070175439,4427.93257653939,6736.84210526316,2947.36842105263,3836.25730994152,1403.50877192982,233.918128654971,531.131750945992,366.491251947437
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_050000-73.gzip,46,32,2.66666666666667,102.666666666667,3.5,30.734375,31.693479999949,4511.69590643275,4067.2514619883,5660.81871345029,3134.50292397661,2573.09941520468,1029.23976608187,140.350877192982,491.228070175439,294.929614797054
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200410_060000-22.gzip,46,26,4.33333333333333,94.2083333333333,2.91666666666667,25.0496794871795,25.8563876140639,6380.56680161943,5695.00674763833,8608.18713450293,2526.31578947368,6128.65497076023,3134.50292397661,187.134502923977,732.343679712101,742.89596573262
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_070000-42.gzip,46,9,2.25,83.125,3.79166666666667,33.8009259259259,31.5692771724072,4564.00259909032,4163.74269005848,5520.46783625731,3228.0701754386,2339.18128654971,888.888888888889,233.918128654971,447.043534762833,228.128480909595
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_040000-53.gzip,46,9,3,81.0833333333333,3.5,23.787037037037,25.4031081018557,4387.2644574399,3919.42820012995,5988.30409356725,3274.85380116959,2760.23391812866,982.456140350877,233.918128654971,514.619883040936,237.400972282859
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200410_050000-18.gzip,46,12,6,90.7083333333333,4.375,21.7291666666667,29.2306306195084,6144.24951267056,5680.31189083821,7625.73099415205,3883.04093567251,3789.47368421053,1403.50877192982,233.918128654971,510.721247563353,375.573660854264
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200419_060000-9.gzip,46,10,1.25,184.916666666667,5.54166666666667,86.7416666666667,68.2594445823533,4266.66666666667,3869.00584795322,4818.7134502924,3368.42105263158,1497.07602339181,795.321637426901,233.918128654971,444.444444444444,228.394830656948
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200410_040000-25.gzip,46,10,2.5,81.9583333333333,4.95833333333333,30.975,27.3979743213541,4145.02923976608,3569.59064327485,5005.84795321637,3181.2865497076,1871.34502923977,1871.34502923977,187.134502923977,622.222222222222,508.702466634455
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_040000-48.gzip,46,10,2,91.2916666666667,3.5,45.6458333333333,39.4569534644723,4453.80116959064,3635.08771929825,5333.33333333333,2947.36842105263,2432.7485380117,1684.21052631579,140.350877192982,865.497076023392,617.216917806263
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_050000-53.gzip,46,5,1.66666666666667,120.166666666667,6.70833333333333,66.5,44.1472933139105,5024.56140350877,4201.16959064328,5333.33333333333,4163.74269005848,1216.37426900585,1216.37426900585,327.485380116959,870.175438596491,404.617512242146
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_MP58-GRETI_HQ-20200412_050000-116.gzip,46,19,2.11111111111111,133.583333333333,4.66666666666667,51.1491228070176,45.7858051462622,5087.10372422284,4670.9756848261,5614.0350877193,3649.12280701754,2011.69590643275,842.105263157895,187.134502923977,462.911665127732,204.457907433008
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_040000-98.gzip,46,24,2.4,187.541666666667,3.20833333333333,56.0243055555556,67.817574546508,4350.87719298246,3857.69980506823,5754.38596491228,2573.09941520468,3228.0701754386,888.888888888889,140.350877192982,539.961013645224,223.720421476306
/home/nilomr/projects/0.0_great-tit-song/test/processed/GRETI_HQ/2020-09-03_11-20-40/WAV/SegSyllsOutput_20200903_T140743/SegSyllsOutput_W71-GRETI_HQ-20200420_050000-14.gzip,46,35,3.88888888888889,107.916666666667,3.5,35.1166666666667,33.2744621058158,4002.00501253133,3472.68170426065,5614.0350877193,2526.31578947368,3134.50292397661,935.672514619883,187.134502923977,576.106934001671,215.518960645191
